,Bags used ,Pothole,Result,distance,area per pixel,real area (cm)
0,0.5,101,63031,213.48348405050254,0.05485439694778182,3457.527494015636
1,1.0,102,33979,147.5006714086158,0.11490846265056266,3904.4746524034686
2,0.5,106,43611,200.2238773225078,0.06236031126571518,2719.5955346091046
3,0.5,107,19125,157.55151180054798,0.10071516277760548,1926.1774881217048
4,0.5,109,40528,131.73564594156338,0.14405667885388349,5838.32908059019
5,2.0,110,72998,137.8623935493731,0.13153713548496615,9601.947816131558
6,0.5,111,65892,135.6993685815972,0.1357639155575101,8945.755923915456
7,0.5,112,17153,163.80253429751255,0.09317486564835988,1598.228470466317
8,0.5,113,16805,192.26086770295657,0.06763293159729566,1136.5714154925536
9,1.0,116,23989,133.84888944701547,0.13954377397403436,3347.5155938631106
10,3.0,117,62417,149.57465987895236,0.11174393500380336,6974.721191132395
11,2.0,118,42352,117.548918078444,0.18092673092711312,7662.608908225095
12,1.0,119,24732,131.32304042657105,0.14496332791386715,3585.2330259657624
13,1.0,120,27636,150.35829317727922,0.1105822022020898,3056.0497400569534
14,0.5,121,27180,175.26965849249953,0.0813816569160248,2211.953434977554
15,3.0,123,45674,117.14713256786618,0.18216992652368144,8320.429224042626
16,1.0,124,41462,160.10709523852805,0.09752564964736601,4043.60848567909
17,1.0,125,22925,140.25509293991692,0.12708746824795225,2913.480209584305
18,0.5,126,2048,151.8090031582332,0.10847881980424742,222.16462295909872
19,1.0,127,16472,142.04794242837661,0.1238996598322957,2040.8751967575747
20,1.0,128,32335,178.9710239883231,0.07805029750554196,2523.7563698416993
21,0.5,129,25290,138.45052421305476,0.1304219831889501,3298.371954848548
22,2.0,132,30714,126.94470290782364,0.15513537563172827,4764.827927152902
23,1.0,133,31785,132.90274951142658,0.14153768145695989,4498.77520510947
24,3.0,135,69512,136.29391320383928,0.13458203370194813,9355.06632668982
25,1.0,138,19958,134.64288273214277,0.13790283861789343,2752.2648531359173
26,1.0,141,33190,179.32117713267095,0.07774578384050779,2580.3825656664535
27,3.0,142,33336,193.74346747026448,0.06660178553843268,2220.237122709192
28,1.0,145,34420,200.05339977066626,0.062466638505149386,2150.101697347242
29,1.0,146,35613,178.80731554348884,0.07819328205907303,2784.697353969768
30,1.0,147,44989,136.6569076170329,0.13386801719113753,6022.588225412086
31,2.0,148,38632,156.72752350145652,0.10177695801379465,3931.847441988915
32,2.0,150,28771,153.2909558688632,0.10639150294105242,3060.989931117019
33,1.5,405,36118,160.9282276007376,0.09653294424826853,3486.5768803589626
34,1.5,407,37575,137.65494180610503,0.13193389813634268,4957.416222473076
35,0.25,408,2486,134.7764504563628,0.13762964191079644,342.14728979023994
36,1.0,410,9904,158.9942745122574,0.09889561554170638,979.46217632506
37,0.5,411,492,186.96520240576092,0.07151850715563582,35.18710552057282
38,1.0,412,49700,177.73524251503315,0.07913942790364623,3933.2295668112174
39,0.5,413,42383,202.03654278053966,0.06124634156257407,2595.803694446577
40,2.5,414,82437,118.8943472544974,0.17685510274124072,14579.404104679661
41,2.5,415,64614,143.80359131801535,0.12089283005401995,7811.369321110445
42,1.5,416,53394,136.27333613746515,0.13462268013505166,7188.043383130948
43,0.5,417,33088,158.92791389271304,0.09897822084754036,3274.9913714034155
44,0.5,418,25397,173.80876288388242,0.08275546281819474,2101.7404891936917
45,0.5,419,21480,143.30727418448546,0.12173165815241317,2614.7960171138348
46,0.5,421,20597,150.81115017169842,0.10991908496622783,2264.0033930493946
47,0.25,423,227,159.39908400783483,0.09839394328282948,22.335425125202292
