Pothole number,Bags used
103,1.0086628310765273
104,0.728332754620282
105,0.8286343923897754
108,1.4067663157604522
114,1.7801669117714647
143,0.41032883495651257
144,0.6341494618538017
406,1.8843437489594537
434,0.7276832991247508
450,0.7445684599074951
470,0.4917686869643798
473,0.3597180856063608
479,1.5171590853833739
1040,0.6029974009742758
1086,0.6278575606316354
1115,0.6927603318073723
1134,0.41346957090367226
1161,0.2802854828508208
1162,0.2677325120730223
1181,0.5775610408807885
1198,0.5019553355387878
1205,0.4039405624216538
1250,0.39253894233006353
1270,0.49714280920258513
1278,0.3733641219149905
1280,0.36457687332770267
1296,0.5558681395717129
1409,0.37169988948434435
1430,0.48081703335353665
1438,0.5198266824862741
